BlockSize,StandardTime(ms),TransposedTime(ms),Improvement(%)
8,2572.99,1774.51,31.03
16,1690.88,1233.90,27.03
32,1847.43,905.34,50.99
64,1824.05,927.45,49.15
128,2229.47,1114.65,50.00
256,2989.78,932.20,68.82
