BlockSize,StandardTime(ms),TransposedTime(ms),Improvement(%)
8,3257.87,1991.57,38.87
16,1875.92,1329.91,29.11
32,1983.91,1052.97,46.92
64,2022.77,1042.71,48.45
128,2353.01,968.72,58.83
256,2939.41,1035.85,64.76
