BlockSize,StandardTime(ms),TransposedTime(ms),Improvement(%)
8,2744.13,1869.26,31.88
16,2098.37,1447.42,31.02
32,2116.03,1070.65,49.40
64,2256.06,1178.98,47.74
128,2424.51,1114.37,54.04
256,3240.16,1097.85,66.12
